CVE-2010-0357,"cross-site scripting (xss) vulnerability in the login page in ibm lotus web content management (wcm) 6.0.1.4, 6.0.1.5, and 6.0.1.6 before ifix 32; and 6.1.0.1 and 6.1.0.2 before ifix 24; for websphere portal allows remote attackers to inject arbitrary web script or html via unspecified parameters."
CVE-2010-2568,"windows shell in microsoft windows xp sp3, server 2003 sp2, vista sp1 and sp2, server 2008 sp2 and r2, and windows 7 allows local users or remote attackers to execute arbitrary code via a crafted (1) .lnk or (2) .pif shortcut file, which is not properly handled during icon display in windows explorer, as demonstrated in the wild in july 2010, and originally reported for malware that leverages cve-2010-2772 in siemens wincc scada systems."
CVE-2010-2772,"siemens simatic wincc and pcs 7 scada system uses a hard-coded password, which allows local users to access a back-end database and gain privileges, as demonstrated in the wild in july 2010 by the stuxnet worm, a different vulnerability than cve-2010-2568."
CVE-2010-2965,"the wdb target agent debug service in wind river vxworks 6.x, 5.x, and earlier, as used on the rockwell automation 1756-enbt series a with firmware 3.2.6 and 3.6.1 and other products, allows remote attackers to read or modify arbitrary memory locations, perform function calls, or manage tasks via requests to udp port 17185, a related issue to cve-2005-3804."
CVE-2010-5298,"race condition in the ssl3_read_bytes function in s3_pkt.c in openssl through 1.0.1g, when ssl_mode_release_buffers is enabled, allows remote attackers to inject data across sessions or cause a denial of service (use-after-free and parsing error) via an ssl connection in a multithreaded environment."
CVE-2011-0340,"multiple buffer overflows in the issymbol activex control in issymbol.ocx 61.6.0.0 and 301.1009.2904.0 in the issymbol virtual machine, as distributed in advantech studio 6.1 sp6 61.6.01.05, indusoft web studio before 7.0+sp1, and indusoft thin client 7.0, allow remote attackers to execute arbitrary code via a long (1) internationalorder, (2) internationalseparator, or (3) logfilename property value; or (4) a long bstrfilename argument to the openscreen method."
CVE-2011-0342,"multiple buffer overflows in the indusoft issymbol activex control in issymbol.ocx 301.1104.601.0 in indusoft web studio 7.0b2 hotfix 7.0.01.04 allow remote attackers to execute arbitrary code via a long parameter to the (1) open, (2) close, or (3) setcurrentlanguage method."
CVE-2011-0406,heap-based buffer overflow in historysvr.exe in wellintech kingview 6.53 allows remote attackers to execute arbitrary code via a long request to tcp port 777.
CVE-2011-0488,"stack-based buffer overflow in ntwebserver.exe in the test web service in indusoft ntwebserver, as distributed in advantech studio 6.1 and indusoft web studio 7.0, allows remote attackers to cause a denial of service (daemon crash) or possibly execute arbitrary code via a long request to tcp port 80."
CVE-2011-1900,directory traversal vulnerability in ntwebserver in indusoft web studio 6.1 and 7.x before 7.0+patch 1 allows remote attackers to execute arbitrary code via an invalid request.
CVE-2011-1914,"buffer overflow in the advantech adam ole for process control (opc) server activex control in adam opc server before 3.01.012, modbus rtu opc server before 3.01.010, and modbus tcp opc server before 3.01.010 allows remote attackers to execute arbitrary code via unspecified vectors."
CVE-2011-1918,stack-based buffer overflow in the data archiver service in ge intelligent platforms proficy historian before 3.5 sim 17 and 4.x before 4.0 sim 12 allows remote attackers to cause a denial of service (daemon crash) or possibly execute arbitrary code via crafted tcp message traffic.
CVE-2011-2089,stack-based buffer overflow in the setactivexguid method in the versioninfo activex control in genversion.dll 8.0.138.0 in the webhmi subsystem in iconics bizviz 9.x before 9.22 and genesis32 9.x before 9.22 allows remote attackers to execute arbitrary code via a long string in the argument.  note: some of these details are obtained from third party information.
CVE-2011-2214,"unspecified vulnerability in the open database connectivity (odbc) component in 7t interactive graphical scada system (igss) before 9.0.0.11143 allows remote attackers to execute arbitrary code via a crafted packet to tcp port 20222, which triggers memory corruption related to an ""invalid structure being used."""
CVE-2011-2299,"unspecified vulnerability in oracle sparc enterprise m3000, m4000, m5000, m8000, and m9000 xcp 1101 and earlier allows remote attackers to affect confidentiality, integrity, and availability, related to xscf control package (xcp)."
CVE-2011-3142,stack-based buffer overflow in an activex control in kvwebsvr.dll in wellintech kingview 6.52 and 6.53 allows remote attackers to execute arbitrary code via a long second argument to the validateuser method.
CVE-2011-3320,cross-site scripting (xss) vulnerability in the web administrator component in ge intelligent platforms proficy historian 4.x and earlier allows remote attackers to inject arbitrary web script or html via unspecified parameters.
CVE-2011-3321,"heap-based buffer overflow in the siemens wincc runtime advanced loader, as used in simatic wincc flexible runtime and simatic wincc (tia portal) runtime advanced, allows remote attackers to cause a denial of service (memory corruption) or possibly execute arbitrary code via a crafted packet to tcp port 2308."
CVE-2011-3330,"buffer overflow in the unitelway windows device driver, as used in schneider electric unity pro 6 and earlier, opc factory server 3.34, vijeo citect 7.20 and earlier, telemecanique driver pack 2.6 and earlier, monitor pro 7.6 and earlier, and pl7 pro 4.5 and earlier, allows local users, and possibly remote attackers, to execute arbitrary code via an unspecified system parameter."
CVE-2011-3339,"cross-site scripting (xss) vulnerability in the admin control center in sentinel hasp run-time environment 5.95 and earlier in safenet sentinel hasp (formerly aladdin hasp srm) run-time installer before 6.x and sdk before 5.11, as used in 7 technologies (7t) igss 7 and other products, when firefox 2.0 is used, allows remote attackers to inject arbitrary web script or html via unspecified vectors that trigger write access to a configuration file."
CVE-2011-3389,"the ssl protocol, as used in certain configurations in microsoft windows and microsoft internet explorer, mozilla firefox, google chrome, opera, and other products, encrypts data by using cbc mode with chained initialization vectors, which allows man-in-the-middle attackers to obtain plaintext http headers via a blockwise chosen-boundary attack (bcba) on an https session, in conjunction with javascript code that uses (1) the html5 websocket api, (2) the java urlconnection api, or (3) the silverlight webclient api, aka a ""beast"" attack."
CVE-2011-3490,"multiple stack-based buffer overflows in service.exe in measuresoft scadapro 4.0.0 and earlier allow remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via a long command to port 11234, as demonstrated with the tf command."
CVE-2011-4033,"buffer overflow in the steema teechart activex control, as used in schneider electric vijeo historian 4.30 and earlier, citecthistorian 4.30 and earlier, and citectscadareports 4.10 and earlier, allows remote attackers to cause a denial of service via unspecified vectors."
CVE-2011-4034,"buffer overflow in the steema teechart activex control, as used in schneider electric vijeo historian 4.30 and earlier, citecthistorian 4.30 and earlier, and citectscadareports 4.10 and earlier, allows remote attackers to execute arbitrary code or cause a denial of service via unspecified vectors."
CVE-2011-4035,"cross-site scripting (xss) vulnerability in schneider electric vijeo historian 4.30 and earlier, citecthistorian 4.30 and earlier, and citectscadareports 4.10 and earlier allows remote attackers to inject arbitrary web script or html via unspecified vectors."
CVE-2011-4036,"directory traversal vulnerability in schneider electric vijeo historian 4.30 and earlier, citecthistorian 4.30 and earlier, and citectscadareports 4.10 and earlier allows remote attackers to read arbitrary files via unspecified vectors."
CVE-2011-4041,webvrpcs.exe in advantech/broadwin webaccess allows remote attackers to execute arbitrary code or obtain a security-code value via a long string in an rpc request to tcp port 4592.
CVE-2011-4050,buffer overflow in 7-technologies (7t) interactive graphical scada system (igss) 9.0.0.11200 allows remote attackers to cause a denial of service via a crafted packet to tcp port 12401.
CVE-2011-4051,"ceserver.exe in the ceserver component in the remote agent module in indusoft web studio 6.1 and 7.0 does not require authentication, which allows remote attackers to execute arbitrary code via vectors related to creation of a file, loading a dll, and process control."
CVE-2011-4052,stack-based buffer overflow in ceserver.exe in the ceserver component in the remote agent module in indusoft web studio 6.1 and 7.0 allows remote attackers to execute arbitrary code via a crafted 0x15 (aka remove file) operation for a file with a long name.
CVE-2011-4053,untrusted search path vulnerability in 7-technologies (7t) interactive graphical scada system (igss) before 9.0.0.11291 allows local users to gain privileges via a trojan horse dll in the current working directory.
CVE-2011-4508,"the hmi web server in siemens wincc flexible 2004, 2005, 2007, and 2008 before sp3; wincc v11 (aka tia portal) before sp2 update 1; the tp, op, mp, comfort panels, and mobile panels simatic hmi panels; wincc v11 runtime advanced; and wincc flexible runtime generates predictable authentication tokens for cookies, which makes it easier for remote attackers to bypass authentication via a crafted cookie."
CVE-2011-4509,"the hmi web server in siemens wincc flexible 2004, 2005, 2007, and 2008; wincc v11 (aka tia portal); the tp, op, mp, comfort panels, and mobile panels simatic hmi panels; wincc v11 runtime advanced; and wincc flexible runtime has an improperly selected default password for the administrator account, which makes it easier for remote attackers to obtain access via a brute-force approach involving many http requests."
CVE-2011-4510,"cross-site scripting (xss) vulnerability in the hmi web server in siemens wincc flexible 2004, 2005, 2007, and 2008 before sp3; wincc v11 (aka tia portal) before sp2 update 1; the tp, op, mp, comfort panels, and mobile panels simatic hmi panels; wincc v11 runtime advanced; and wincc flexible runtime allows remote attackers to inject arbitrary web script or html via unspecified vectors, a different vulnerability than cve-2011-4511."
CVE-2011-4511,"cross-site scripting (xss) vulnerability in the hmi web server in siemens wincc flexible 2004, 2005, 2007, and 2008 before sp3; wincc v11 (aka tia portal) before sp2 update 1; the tp, op, mp, comfort panels, and mobile panels simatic hmi panels; wincc v11 runtime advanced; and wincc flexible runtime allows remote attackers to inject arbitrary web script or html via unspecified vectors, a different vulnerability than cve-2011-4510."
CVE-2011-4512,"crlf injection vulnerability in the hmi web server in siemens wincc flexible 2004, 2005, 2007, and 2008 before sp3; wincc v11 (aka tia portal) before sp2 update 1; the tp, op, mp, comfort panels, and mobile panels simatic hmi panels; wincc v11 runtime advanced; and wincc flexible runtime allows remote attackers to inject arbitrary http headers and conduct http response splitting attacks via unspecified vectors."
CVE-2011-4513,"siemens wincc flexible 2004, 2005, 2007, and 2008; wincc v11 (aka tia portal); the tp, op, mp, comfort panels, and mobile panels simatic hmi panels; wincc v11 runtime advanced; and wincc flexible runtime allow user-assisted remote attackers to execute arbitrary code via a crafted project file, related to the hmi web server and runtime loader."
CVE-2011-4514,"the telnet daemon in siemens wincc flexible 2004, 2005, 2007, and 2008; wincc v11 (aka tia portal); the tp, op, mp, comfort panels, and mobile panels simatic hmi panels; wincc v11 runtime advanced; and wincc flexible runtime does not perform authentication, which makes it easier for remote attackers to obtain access via a tcp session."
CVE-2011-4515,"siemens wincc (tia portal) 11 uses a reversible algorithm for storing hmi web-application passwords in world-readable and world-writable files, which allows local users to obtain sensitive information by leveraging (1) physical access or (2) sm@rt server access."
CVE-2011-4518,directory traversal vulnerability in the pmwebdir object in the web server in microsys promotic before 8.1.5 allows remote attackers to read arbitrary files via unspecified vectors.
CVE-2011-4519,stack-based buffer overflow in an activex component in microsys promotic before 8.1.5 allows remote attackers to cause a denial of service via a crafted web page.
CVE-2011-4520,heap-based buffer overflow in an activex component in microsys promotic before 8.1.5 allows remote attackers to cause a denial of service via a crafted web page.
CVE-2011-4521,sql injection vulnerability in advantech/broadwin webaccess before 7.0 allows remote attackers to execute arbitrary sql commands via crafted string input.
CVE-2011-4522,cross-site scripting (xss) vulnerability in bwerrdn.asp in advantech/broadwin webaccess before 7.0 allows remote attackers to inject arbitrary web script or html via unspecified parameters.
CVE-2011-4523,cross-site scripting (xss) vulnerability in bwview.asp in advantech/broadwin webaccess before 7.0 allows remote attackers to inject arbitrary web script or html via unspecified parameters.
CVE-2011-4524,buffer overflow in advantech/broadwin webaccess before 7.0 allows remote attackers to execute arbitrary code via a long string value in unspecified parameters.
CVE-2011-4525,"advantech/broadwin webaccess before 7.0 allows remote attackers to trigger the extraction of arbitrary web content into a batch file on a client system, and execute this batch file, via unspecified vectors."
CVE-2011-4526,buffer overflow in an activex control in advantech/broadwin webaccess before 7.0 might allow remote attackers to execute arbitrary code via a long string value in unspecified parameters.
CVE-2011-4529,"multiple buffer overflows in siemens automation license manager (alm) 4.0 through 5.1+sp1+upd1 allow remote attackers to execute arbitrary code via a long serialid field in an _licensekey command, as demonstrated by the (1) check_licensekey or (2) read_licensekey command."
CVE-2011-4530,"siemens automation license manager (alm) 4.0 through 5.1+sp1+upd1 does not properly copy fields obtained from clients, which allows remote attackers to cause a denial of service (exception and daemon crash) via long fields, as demonstrated by fields to the (1) open_session->workstation->name or (2) grant->version function."
CVE-2011-4531,siemens automation license manager (alm) 4.0 through 5.1+sp1+upd1 allows remote attackers to cause a denial of service (null pointer dereference and daemon crash) via crafted content in a (1) get_target_ocx_param or (2) send_target_ocx_param command.
CVE-2011-4532,absolute path traversal vulnerability in the almlistview.almlistctrl activex control in almaxcx.dll in the graphical user interface in siemens automation license manager (alm) 2.0 through 5.1+sp1+upd2 allows remote attackers to overwrite arbitrary files via the save method.
CVE-2011-4535,"buffer overflow in turbopower abbrevia before 4.0, as used in scadatec scadaphone 5.3.11.1230 and earlier, scadatec modbustagserver 4.1.1.81 and earlier, and other products, allows remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted zip file."
CVE-2011-4536,heap-based buffer overflow in nettransdll.dll in historysvr.exe (aka historyserver.exe) in wellintech kingview 6.53 and 65.30.2010.18018 allows remote attackers to execute arbitrary code via a crafted op-code 3 packet.
CVE-2011-4537,multiple buffer overflows in 7-technologies (7t) interactive graphical scada system (igss) 9.0.0.11355 and earlier allow remote attackers to execute arbitrary code or cause a denial of service via a crafted packet to tcp port (1) 12397 or (2) 12399.
CVE-2011-4859,"the schneider electric quantum ethernet module, as used in the quantum 140noe771* and 140cpu65* modules, the premium tsxety* and tsxp57* modules, the m340 bmxnoe01* and bmxp3420* modules, and the stb dio stbnic2212 and stbnip2* modules, uses hardcoded passwords for the (1) autcse, (2) aut_cse, (3) fdrusers, (4) ftpuser, (5) loader, (6) nic2212, (7) nimrohs2212, (8) nip2212, (9) noe77111_v500, (10) ntpupdate, (11) pcfactory, (12) sysdiag, (13) target, (14) test, (15) user, and (16) webserver accounts, which makes it easier for remote attackers to obtain access via the (a) telnet, (b) windriver debug, or (c) ftp port."
CVE-2011-4860,"the computepassword function in the schneider electric quantum ethernet module on the noe 771 device (aka the quantum 140noe771* module) generates the password for the fwupgrade account by performing a calculation on the mac address, which makes it easier for remote attackers to obtain access via a (1) arp request message or (2) neighbor solicitation message."
CVE-2011-4861,the modbus_125_handler function in the schneider electric quantum ethernet module on the noe 771 device (aka the quantum 140noe771* module) allows remote attackers to install arbitrary firmware updates via a modbus 125 function code to tcp port 502.
CVE-2011-4874,use-after-free vulnerability in microsys promotic before 8.1.7 allows user-assisted remote attackers to execute arbitrary code or cause a denial of service (data corruption and application crash) via a crafted project (aka .pra) file.
CVE-2011-4875,"stack-based buffer overflow in hmiload in the runtime loader in siemens wincc flexible 2004, 2005, 2007, and 2008; wincc v11 (aka tia portal); the tp, op, mp, comfort panels, and mobile panels simatic hmi panels; wincc v11 runtime advanced; and wincc flexible runtime, when transfer mode is enabled, allows remote attackers to execute arbitrary code via vectors related to unicode strings."
CVE-2011-4876,"directory traversal vulnerability in hmiload in the runtime loader in siemens wincc flexible 2004, 2005, 2007, and 2008; wincc v11 (aka tia portal); the tp, op, mp, comfort panels, and mobile panels simatic hmi panels; wincc v11 runtime advanced; and wincc flexible runtime, when transfer mode is enabled, allows remote attackers to execute, read, create, modify, or delete arbitrary files via a .. (dot dot) in a string."
CVE-2011-4877,"hmiload in the runtime loader in siemens wincc flexible 2004, 2005, 2007, and 2008; wincc v11 (aka tia portal); the tp, op, mp, comfort panels, and mobile panels simatic hmi panels; wincc v11 runtime advanced; and wincc flexible runtime, when transfer mode is enabled, allows remote attackers to cause a denial of service (application crash) by sending crafted data over tcp."
CVE-2011-4878,"directory traversal vulnerability in miniweb.exe in the hmi web server in siemens wincc flexible 2004, 2005, 2007, and 2008 before sp3; wincc v11 (aka tia portal) before sp2 update 1; the tp, op, mp, comfort panels, and mobile panels simatic hmi panels; wincc v11 runtime advanced; and wincc flexible runtime allows remote attackers to read arbitrary files via a ..%5c (dot dot backslash) in a uri."
